,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
229,2021-01-26,500,内地企业,Mainland Enterprises,600606,绿地控股,Greenland Holdings Corporation Limited,SHH
230,2021-01-26,500,内地企业,Mainland Enterprises,600637,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",SHH
231,2021-01-26,500,内地企业,Mainland Enterprises,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",SHH
232,2021-01-26,500,内地企业,Mainland Enterprises,600673,东阳光,"GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD",SHH
233,2021-01-26,500,内地企业,Mainland Enterprises,600685,中船防务,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,SHH
234,2021-01-26,500,内地企业,Mainland Enterprises,600690,海尔智家,"Haier Smart Home Co., Ltd.",SHH
235,2021-01-26,500,内地企业,Mainland Enterprises,600699,均胜电子,Ningbo Joyson Electronic Corp.,SHH
236,2021-01-26,500,内地企业,Mainland Enterprises,600703,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH
237,2021-01-26,500,内地企业,Mainland Enterprises,600704,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,SHH
238,2021-01-26,500,内地企业,Mainland Enterprises,600705,中航资本,"AVIC CAPITAL CO.,LTD.",SHH
239,2021-01-26,500,内地企业,Mainland Enterprises,600707,彩虹股份,Irico Display Devices Co Ltd,SHH
240,2021-01-26,500,内地企业,Mainland Enterprises,600732,爱旭股份,"Shanghai Aiko Solar Energy Co., Ltd.",SHH
241,2021-01-26,500,内地企业,Mainland Enterprises,600739,辽宁成大,Liaoning Cheng Da Co Ltd,SHH
242,2021-01-26,500,内地企业,Mainland Enterprises,600741,华域汽车,HUAYU Automotive Systems Company Limited,SHH
243,2021-01-26,500,内地企业,Mainland Enterprises,600745,闻泰科技,"Wingtech Technology Co.,Ltd.",SHH
